entity,n-revs
Documentation/userspace-api/media/dvb/fe-diseqc-send-master-cmd.rst,17
Documentation/userspace-api/netlink/specs.rst,17
include/uapi/linux/virtio_mmio.h,17
kernel/trace/trace_sched_wakeup.c,17
lib/raid6/avx512.c,17
Documentation/trace/postprocess/trace-vmscan-postprocess.pl,17
drivers/net/wireless/realtek/rtlwifi/rtl8192ce/Makefile,17
tools/testing/selftests/bpf/progs/tailcall1.c,17
drivers/usb/host/ehci-mem.c,17
tools/perf/pmu-events/arch/x86/snowridgex/uncore-io.json,17
arch/s390/lib/test_kprobes.c,17
Documentation/translations/it_IT/process/programming-language.rst,17
arch/arm64/boot/dts/freescale/s32g3.dtsi,17
"Documentation/devicetree/bindings/arm/sunxi/allwinner,sun6i-a31-cpuconfig.yaml",17
arch/loongarch/include/asm/kfence.h,17
arch/arm/crypto/crct10dif-ce-core.S,17
net/appletalk/sysctl_net_atalk.c,17
tools/testing/selftests/arm64/signal/testcases/fpmr_siginfo.c,17
drivers/platform/x86/intel/atomisp2/Makefile,17
drivers/net/wireless/mediatek/mt76/mt76x02_util.c,17
drivers/platform/surface/aggregator/Kconfig,17
drivers/thermal/mediatek/lvts_thermal.c,17
drivers/target/sbp/sbp_target.c,17
drivers/input/misc/pm8941-pwrkey.c,17
drivers/net/wireless/ath/ath10k/ce.c,17
drivers/net/ethernet/sun/cassini.c,17
include/dt-bindings/interrupt-controller/aspeed-scu-ic.h,17
drivers/gpu/drm/amd/amdgpu/nbio_v7_2.h,17
drivers/net/wireless/ti/wlcore/init.h,17
Documentation/devicetree/bindings/nvmem/nvmem.yaml,17
drivers/net/wireless/realtek/rtl8xxxu/Kconfig,17
arch/powerpc/crypto/aes-spe-modes.S,17
"Documentation/devicetree/bindings/i2c/nxp,pnx-i2c.yaml",17
drivers/usb/mon/mon_stat.c,17
tools/testing/selftests/rcutorture/bin/kvm-remote.sh,17
drivers/platform/x86/intel/pmc/pltdrv.c,17
arch/powerpc/configs/52xx/motionpro_defconfig,17
Documentation/devicetree/bindings/gpio/gpio-clps711x.txt,17
drivers/usb/serial/kl5kusb105.h,17
drivers/media/usb/gspca/stv06xx/Makefile,17
mm/vma.h,17
sound/usb/usx2y/usbusx2y.c,17
drivers/media/platform/allegro-dvt/nal-rbsp.h,17
fs/bcachefs/fs-io-pagecache.h,17
arch/sh/include/asm/futex-irq.h,17
tools/testing/radix-tree/idr-test.c,17
arch/arm/boot/dts/marvell/kirkwood-ts419-6282.dts,17
drivers/net/wireless/realtek/rtw89/rtw8852bt_rfk_table.h,17
Documentation/devicetree/bindings/media/mediatek-vpu.txt,17
block/blk-mq-sysfs.c,17
tools/verification/dot2/dot2c.py,17
tools/testing/selftests/bpf/progs/btf__core_reloc_mods___mod_swap.c,17
sound/drivers/pcsp/pcsp_lib.c,17
drivers/usb/typec/ucsi/ucsi.c,17
sound/drivers/dummy.c,17
mm/maccess.c,17
arch/riscv/configs/defconfig,17
drivers/media/usb/gspca/m5602/m5602_s5k4aa.c,17
sound/soc/codecs/alc5632.h,17
drivers/pinctrl/freescale/Kconfig,17
drivers/gpu/drm/vmwgfx/device_include/svga3d_dx.h,17
"Documentation/devicetree/bindings/iio/adc/microchip,mcp3911.yaml",17
tools/testing/selftests/bpf/progs/pyperf180.c,17
arch/m68k/configs/sun3_defconfig,17
drivers/gpu/drm/lima/lima_pmu.c,17
arch/riscv/configs/nommu_virt_defconfig,17
drivers/net/phy/uPD60620.c,17
include/linux/input/lm8333.h,17
drivers/net/ethernet/synopsys/dwc-xlgmac-pci.c,17
drivers/gpu/drm/amd/display/dc/resource/dce120/dce120_resource.h,17
